id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1.02342e+18,Amazing 2br 2ba unit by the lake,163848078,Adam,Jamaica Plain,42.32878,-71.11218,Entire home/apt,375.0,5,2,4/7/2024,0.33,63,239,2,str-007933
1.02343e+18,Fabulous 2br 2ba unit lake view,163848078,Adam,Jamaica Plain,42.32841,-71.111,Entire home/apt,399.0,5,6,5/26/2024,0.93,63,211,6,str-896639
1.02344e+18,High end 2 Br 2Ba apt South end Boston Prudential,163848078,Adam,South End,42.34610138,-71.06360215,Entire home/apt,599.0,2,5,6/15/2024,0.85,63,217,5,STR-634598
1.02344e+18,Historic west end luxurious APT,163848078,Adam,Downtown,42.36695,-71.06255,Entire home/apt,499.0,29,7,6/17/2024,3.82,63,216,7,str-611849
1.02348e+18,Luxurious 2BR 2BA Back bay heart with amazing view,163848078,Adam,Back Bay,42.3492,-71.08039,Entire home/apt,499.0,28,3,5/3/2024,0.53,63,233,3,str-679194
1.02352e+18,Luxury 2BR 2BA South end Boston Balcony,163848078,Adam,South End,42.34580179,-71.06469002,Entire home/apt,599.0,3,15,6/4/2024,2.63,63,281,15,STR-463524
1.02378e+18,Cozy and Cute Value Studio!,409684302,Justin And Mandy,South End,42.34089,-71.08008,Entire home/apt,257.0,1,3,5/26/2024,2.2,34,308,3,STR-457097
1.02382e+18,Downtown Boston Theater District Famous Nightlife!,73341042,Natalia,Downtown,42.35255,-71.0636,Entire home/apt,233.0,1,25,6/7/2024,3.97,2,109,25,STR-544951
1.0239e+18,"(FB2) Fenway 3 Brm, W/D Near Hospitals!",331225367,Foster,Fenway,42.34147619,-71.09977461,Entire home/apt,375.0,1,45,6/18/2024,6.43,72,177,45,STR-531165
1.02392e+18,"Spacious Studio Near MGH, TD Garden, & Waterfront",130680380,Jodie,Downtown,42.36562,-71.05888,Entire home/apt,116.0,3,10,6/4/2024,2.7,28,342,10,STR-461702
1.02392e+18,Peaceful South End Studio!,365116307,Healing Homes,Back Bay,42.34387,-71.08354,Entire home/apt,196.0,1,5,3/30/2024,0.73,60,349,5,Exempt: This listing is a unit that has contracts with hospitals
1.02397e+18,3 Bed w/ Free Parking at the Heart of North End,130680380,Jodie,Downtown,42.36717,-71.05893,Entire home/apt,263.0,3,12,6/1/2024,2.07,28,304,12,STR-461702
1.024e+18,Spacious Studio Apt | South End,365116307,Healing Homes,South End,42.3419022,-71.08227343,Entire home/apt,253.0,1,16,4/11/2024,2.33,60,305,16,Exempt: This listing is a unit that has contracts with hospitals
